item_id,release_date,item_desc,item_name,availability
12,1988,"The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic. Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.",To Kill a Mockingbird,1
13,2002,"The author retraces the amazing journey of Seabiscuit, a horse with crooked legs and a pathetic tail that nevertheless made racing history in 1938, thanks to the efforts of a trainer, an owner, and a jockey who transformed a bottom-level racehorse into a legend. Reader's Guide included. Reprint.",Seabiscuit: An American Legend,1
14,1993,"When Turtle witnesses a freak accident at the Hoover Dam, her mother responds and a man's life is saved, but their lives are changed by the incident. By the author of Animal Dreams. 100,000 first printing. $125,000 ad/promo. Tour.",Pigs in Heaven,1
15,1995,"The year is 1966, a time of innocence, possibility, and freedom. And for Atlanta, the country, and one woman making her way in a changing world, nothing will be the same . . . After an airless childhood in Savannah, Smoky O'Donnell arrives in Atlanta, dazzled and chastened by this hectic young city on the rise. Her new job as a writer with the city's Downtown magazine introduces her to many unforgettable people and propels her into the center of momentous events that will irrevocably alter her heart, her career, and her world.",Downtown,1
16,2000,"A secret Arctic experiment turns into a frozen nightmare when a team of scientists, stranded on a drifting iceberg with a massive explosive charge, battles the elements for survival, only to discover that one of them is a murderer. Reissue.",Icebound,1
17,1994,A young news reporter on assignment at a large metropolitan hospital is horrified when she sees that a young Jane Doe whom paramedics have failed to save has a face identical to her own,I'll Be Seeing You,1
18,2001,"Koontz looks heavenward for inspiration in his newest suspense thriller, which is chock-full of signs, portents, angels, and one somewhat second-rate devil, a murky and undercharacterized guy named Junior Cain who throws his beloved wife off a fire tower on an Oregon mountain and spends the rest of the novel waiting for the retribution that will surely come. But not before a series of tragedies ensues that convince Junior that someone or something named Bartholomew is out to exact vengeance for that crime and the series of other murders that follow. --- Amazon.",From the Corner of His Eye,1
19,2002,"Angered over the governor's order on speed traps, the eccentric inhabitants of the Isle of Tangier, off the coast of Virginia, declare war on their own state, and it is up to Judy Hammer, the new superintendent of the state police, to stop the crisis.",Isle of Dogs,1
20,2002,Eve Dallas must face the impossible: someone has unleashed a computer virus that may be able to spread from machine to man.,Purity in Death,1
21,1997,"Presents an anthology of Christmas stories reflecting on the various ways in which the holidays serve as a catalyst to promote change, growth, and new beginnings",This Year It Will Be Different: And Other Stories,1
22,2000,,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),1
23,1999,"After a violent encounter with a homeless man, talented corporate lawyer Michael finds himself out in the streets, lucky to be alive, and holding a top-secret file belonging to his former employers",The Street Lawyer,1
24,1992,"Encountering a younger man on a road in Italy, seventy-something professor Alessandro Guiliani recounts his experiences, spinning a tale of love, loss, tragedy, madmen, dwarves, and mafiosi. Reprint.",A Soldier of the Great War,1
25,1986,"Presents a love story and an epic of the frontier, richly authentic that makes readers laugh, weep, dream and remember",LONESOME DOVE,1
26,1991,"Shabanu, a young nomad of the Cholistan Desert, must submit to the marriage her father arranges for her, or go against centuries of tradition by defying him.",Shabanu: Daughter of the Wind (Border Trilogy),1
27,1978,,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,1
28,1994,,Breathing Lessons,1
29,1994,"Encompassing two generations and a rich blend of Chinese and American history, the story of four struggling, strong women also reveals their daughters' memories and feelings",The Joy Luck Club,1
30,1998,"Introduction and Notes by Gene M. Moore, Universiteit van Amsterdam. Generally regarded as the pre-eminent work of Conrad's shorter fiction, Heart of Darkness is a chilling tale of horror which, as the author intended, is capable of many interpretations. Set in the Congo during the period of rapid colonial expansion in the 19th century, the story deals with the highly disturbing effects of economic, social and political exploitation of European and African societies and the cataclysmic behaviour this induced in some individuals. The other two stories in this book - Youth and The End of the Tether - concern the sea and those who sail upon it, a genre in which Conrad reigns supreme.",Heart of Darkness (Wordsworth Collection),1
31,1997,The story of a simple country girl whose family's pretentions lead to her destruction,Tess of the D'Urbervilles (Wordsworth Classics),1
32,2003,"From: Venus, Goddess of Love, 120 Main, Mt. Olympus To: Stacy Temple, lapsed temptress Stacy, Stacy, Stacy. You were so promising at the beginning: Sexy, smart, personable and funny. Great on dates and really great afterward-if you know what I mean. But this is a sad state of affairs; or, in your case, non-affairs! It's been nearly an entire year and you haven't had your way with even ONE eligible male. You've been working so hard concocting sexy lingerie for Thongs.com -- and really, Stacy, if that little pink velvet bustier didn't put you in the mood, I don't know what to say! -- that you haven't even tried to be coaxed out of your own thong.com! Are you listening, Stacy? Seven days to find the perfect man -- or else! Happy hunting!",The Accidental Virgin,1
33,1983,"An expert in Chinese philosophy explains facets of Taoism using Milne's famous character and explores the world of Winnie-the-Pooh through Tao, characterizing Pooh as a simple bear who subscribes to the principles of successful living",The Tao of Pooh,1
34,2003,,Seabiscuit,1
35,1991,,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),1
36,1987,In a futuristic military adventure a recruit goes through the roughest boot camp in the universe and into battle with the Terran Mobile Infantry in what historians would come to call the First Interstellar War,Starship Troopers,1
37,1988,"In nineteenth-century London, sixteen-year-old Sally, a recent orphan, becomes involved in a deadly search for a mysterious ruby.","The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",1
38,2000,A forensic pathologist returns to Sri Lanka--after 15 years abroad--to assist in identifying victims of the country's civil war,Anil's Ghost,1
39,2000,"Unlike most people Matt Beckford is actually looking forward to turning thirty. After struggling through most of his twenties he thinks his career, finances and love life are finally sorted. But when he splits up with his girlfriend, he realises that life has different plans for him. Unable to cope with his future falling apart Matt temporarily moves back to his parents. During his enforced exodus only his old school mates can keep him sane. Friends he hasn't seen since he was nineteen. Back together after a decade apart. But things will never be the same for any of them because when you're turning thirty nothing's as simple as it used to be.",Turning Thirty,1
40,1991,"Anyone who has read J.D. Salinger's New Yorker stories, particularly A Perfect Day for Bananafish, Uncle Wiggily in Connecticut, The Laughing Man, and For Esme--With Love and Squalor, will not be surprised by the fact that his first novel is full of children. The hero-narrator of THE CATCHER IN THE RYE is an ancient child of sixteen, a native New Yorker named Holden Caulfield. Through circumstances that tend to preclude adult, secondhand description, he leaves his prep school in Pennsylvania and goes underground in New York City for three days. The boy himself is at once too simple and too complex for us to make any final comment about him or his story. Perhaps the safest thing we can say about Holden is that he was born in the world not just strongly attracted to beauty but, almost, hopelessly impaled on it. There are many voices in this novel: children's voices, adult voices, underground voices--but Holden's voice is the most eloquent of all. Transcending his own vernacular, yet remaining marvelously faithful to it, he issues a perfectly articulated cry of mixed pain and pleasure. However, like most lovers and clowns and poets of the higher orders, he keeps most of the pain to, and for, himself. The pleasure he gives away, or sets aside, with all his heart. It is there for the reader who can handle it to keep.",The Catcher in the Rye,1
41,2001,"En la adormecida e idÃ­lica Comarca, un joven hobbit recibe un encargo - custodiar el Anillo Ãšnico y emprender el viaje para su destrucciÃ³n en las Grietas del Destino. AcompaÃ±ado por magos, hombres, elfos y enanos, atravesarÃ¡ la Tierra Media y se internarÃ¡ en las sombras del PaÃ­s Oscuro, perseguido siempre por las huestes de Sauron, el SeÃ±or Oscuro, dispuesto a recuperar su creaciÃ³n para establecer el dominio definitivo del Mal.",El Senor De Los Anillos: LA Comunidad Del Anillo (Lord of the Rings (Spanish)),1
42,1994,"In charming, beautiful, and wealthy old-South Savannah, Georgia, the local bad boy is shot dead inside of the opulent mansion of a gay antiques dealer, and a gripping trial follows",Midnight in the Garden of Good and Evil: A Savannah Story,1
43,1998,"Placed in the federal witness protection program after seeing a murder, Manhattan real-estate agent Lacey Farrell nevertheless must solve the case before she becomes the next victim",Pretend You Don't See Her,1
44,2001,"Following her divorce, Nell Dysart takes a job working for a detective agency and finds herself knee deep in embezzlement, bribery, blackmail, arson, adultery, murder, and passion with her boss, Gabe McKenna. 75,000 first printing.",Fast Women,1
45,2001,,Female Intelligence,1
46,2002,,Pasquale's Nose: Idle Days in an Italian Town,1
47,2000,,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",1
48,1996,"Set in twelfth-century England, this epic of kings and peasants juxtaposes the building of a magnificent church with the violence and treachery that often characterized the Middle Ages. Reissue.",The Pillars of the Earth,1
49,1995,"The idyllic world of the Greek island of Cephallonia is forever changed by the inexorable changes of World War II, as the inhabitants struggle to cope with the Axis invasion and occupation",Corelli's Mandolin : A Novel,1
50,2003,"Plot Eddie is a wounded war veteran, an old man who has lived, in his mind, an uninspired life. His job is fixing rides at a seaside amusement park. On his 83rd birthday, a tragic accident kills him, as he tries to save a little girl from a falling cart. He awakes in the afterlife, where he learns that heaven is not a destination. It's a place where your life is explained to you by five people, some of whom you knew, others who may have been strangers. One by one, from childhood to soldier to old age, Eddie's five people revisit their connections to him on earth, illuminating the mysteries of his ""meaningless"" life, and revealing the haunting secret behind the eternal question: ""Why was I here"" Personal Details Collection Status In Collection Index 10 Read It Yes Links Amazon US Product Details LoC Classification PS3601.L335F59 2003 Dewey 813/.6",The Five People You Meet in Heaven,1
51,1992,"The starship Enterprise rescues Captain Montgomery Scott, who has been missing in space for seventy-five years and finds that the world has changed beyond his recognition",Relics (Star Trek: The Next Generation),1
52,1994,"Peter Houston's journey to France to visit the grave of his father, killed in 1944, becomes a nightmare of murder, revenge, deception, and betrayal",Blood Oath,1
53,2000,Assistant DA Hammond Cross has his sights set on the DA's office. Prosecuting a high-profile murder case practically ensures him the job. But a Saturday night encounter with a mysterious woman is the start of a living nightmare.,The Alibi,1
54,2003,"When Jack Mullen sets out to unravel the truth about his brother's drowning death, he confronts legal interference as he discovers that his brother had been making money catering to the sexual needs of East Hampton's wealthiest citizens.",The Beach House,1
55,2003,,A Kiss Remembered,1
56,2003,"Arriving in London to find a young woman, who has been seen in the company of an unsavory gentleman, for a client, Stone Barrington stumbles upon a deadly rivalry between two spies and is implicated in a horrifying double murder.",The Short Forever,1
57,2004,,Dead Aim,1
58,2001,"An ancient secret brotherhood. A devastating new weapon of destruction. An unthinkable target. ANGELS&amp;DEMONS World-renowned Harvard symbologist Robert Langdon is summoned to a Swiss cryptic symbol seared into the chest of a murdered physicist. What he discovers is unimaginable: a deadly vendetta against the Catholic Church by a centuries-old underground organization -- the Illuminati. Desperate to save the Vatican from a powerful the Vatican from a powerful time bomb, Langdon joins forces in Rome with the beautiful and mysterious scientist Vittoria Vetra. Together they embark on a frantic hunt through sealed crypts, dangerous catacombs, deserted cathedrals, and the most secretive long-forgotten Illuminati lair. DEMONS.",Angels &amp; Demons,1
59,2004,"""A marriage is always two intersecting stories."" This realization comes perhaps too late to the husband of Etna Bliss-a man whose obsession with his young wife begins at the moment of their first meeting, as he helps Etna and her companions escape from a fire in a hotel restaurant, and culminates in a marriage doomed by secrets and betrayal. Written with the intelligence and grace that are the hallmarks of Anita Shreve's bestselling novels, this gripping tale of desire, jealousy, and loss is peopled by unforgettable characters as real as the emotions that bring them together.",All He Ever Wanted: A Novel,1
60,2002,,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",1
61,1990,An eccentric American inventor moves his family to the jungles of Central America in hopes of finding a better life,The Mosquito Coast,1
62,2000,"The acclaimed #1 New York Times and undisputed King of Horror Stephen King offers a frightening suspense novel about a young girl who becomes lost in the woods as night falls. On a six-mile hike on the Maine-New Hampshire branch of the Appalachian Trail, nine-year-old Trisha McFarland quickly tires of the constant bickering between her older brother, Pete, and her recently divorced mother. But when she wanders off by herself, and then tries to catch up by attempting a shortcut, she becomes lost in a wilderness maze full of peril and terror. As night falls, Trisha has only her ingenuity as a defense against the elements, and only her courage and faith to withstand her mounting fears. For solace she tunes her Walkman to broadcasts of Boston Red Sox baseball games and follows the gritty performances of her hero, relief pitcher Tom Gordon. And when her radioâ€™s reception begins to fade, Trisha imagines that Tom Gordon is with herâ€”protecting her from an all-too-real enemy who has left a trail of slaughtered animals and mangled trees in the dense, dark woodsâ€¦",The Girl Who Loved Tom Gordon,1
63,2003,"Recounts the story of how a notorious gang of MIT blackjack savants devised and received backing for a system for winning at the world's most sophisticated casinos, an endeavor that earned them more than three million dollars. Reprint. 100,000 first printing.",Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,1
64,2002,"One terrible act plunges the world into an instant nuclear crisis, and with the American president accused of incompetence, Jack Ryan calls on FBI head Dan Murray to help him avert disaster.",The Sum of All Fears,1
65,1999,,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,1
66,1998,"Tells the story of the Buendia family, set against the background of the evolution and eventual decadence of a small South American town",One Hundred Years of Solitude,1
67,1996,"Don't miss Little Altars Everywhere, the New York Times bestselling companion novel that introduces the Ya-Yas and is also a basis for the film.",Little Altars Everywhere: A Novel,1
68,1992,Jim Chee is torn between his role as the prosecution's star witness against the man charged with killing his best friend and his own investigation of the crime. Reprint,Coyote Waits (Joe Leaphorn/Jim Chee Novels),1
69,2001,"A young woman probing into the mysterious circumstances of her husband's death receives a message from a medium claiming to be his channel in Mary Higgins Clark's #1 bestselling thriller, Before I Say Goodbye. When Nell MacDermott learns that her husband, architect Adam Cauliff, and three of his business associates have died in an explosion of his new cabin cruiser, she is not only devastated but wracked with guilt. The last time she saw Adam, they had a bitter quarrel over her plan to run for the congressional seat long held by her grandfather; she had told him not to come home. As the investigation into the boat's explosion proceeds, Nell learns that it was not an accident but a bomb. Despite her skepticism, Nell is swayed by her great-aunt Gert, a believer in psychic powers, to see a medium claiming to be Adam's channel. While trying to unravel the threads of Adam's past and his violent end, Nell consults the medium, who transmits messages to her with instructions from Adam. The story reaches a powerful climax in Nell's final encounter with the medium, in which she learns the truth about the explosion -- truth she can't be allowed to live and tell.",Before I Say Good-Bye,1
70,1994,"Restless loner and motorcycle rider Michael Tillman is unable to resist his powerful feelings for Jellie Braden, a free spirit trapped in a passionless marriage. By the author of The Bridges of Madison County. Reprint.",Slow Waltz in Cedar Bend,1
71,2003,"In 1935 England, thirteen-year-old Briony Tallis witnesses an event involving her sister Cecilia and her childhood friend Robbie Turner, and she becomes the victim of her own imagination, which leads her on a lifelong search for truth and absolution.",Atonement : A Novel,1
72,2002,"Fleeing his father and a shadowy past, Angelo Vestieri finds a second family in early twentieth-century New York's mob, where he encounters dangerous betrayals and an abandoned boy in need of a father figure.",Gangster,1
73,2002,,Hush,1
74,2002,"As a series of grisly murders terrorizes the small, backwoods town of Silence, Nell Gallagher, a young woman with special psychic gifts, holds the power to unravel the mystery, uncover the dark secrets that could destroy the town, and find a killer before it is too late. Original.","Whisper of Evil (Hooper, Kay. Evil Trilogy.)",1
75,1994,"""Last Night I Dreamt I Went To Manderley Again."" So the second Mrs. Maxim de Winter remembered the chilling events that led her down the turning drive past ther beeches, white and naked, to the isolated gray stone manse on the windswept Cornish coast. With a husband she barely knew, the young bride arrived at this immense estate, only to be inexorably drawn into the life of the first Mrs. de Winter, the beautiful Rebecca, dead but never forgotten...her suite of rooms never touched, her clothes ready to be worn, her servant -- the sinister Mrs. Danvers -- still loyal. And as an eerie presentiment of evil tightened around her heart, the second Mrs. de Winter began her search for the real fate of Rebecca...for the secrets of Manderley.",Rebecca,1
76,1993,,Scarlet Letter,1
77,2003,"Even though she is out of work and her apartment is too small, newlywed Amy Thomas Stewart finds herself longing to have a baby.",Diary of a Mad Mom-To-Be,1
78,1986,"When Nore Robbins visits her new stepmother, brother, and sister in Louisiana, she is unnerved by the feeling of evil and eerie threats that pervades the plantation. Reissue.",Locked in Time (Laurel Leaf Books),1
79,2002,"Firekeeper only vaguely remembers a time when she didn't live with her ""family,"" a pack of ""royal wolves""-bigger, stronger, and smarter than normal wolves. Now her pack leaders are sending her back to live among the humans, as they promised her mother years ago. Some of the humans think she may be the lost heir to their throne. This could be good-and it could be very, very dangerous. In the months to come, learning to behave like a human will turn out to be more complicated than she'd ever imagined. But though human ways might be stranger than anything found in the forest, the infighting in the human's pack is nothing Firekeeper hasn't seen before. That, she understands just fine. She's not your standard-issue princess-and this is not your standard-issue fairy tale.",Through Wolf's Eyes (Wolf),1
80,1995,"The author of the blockbuster The Bridges of Madison County blends passion and adventure in the story of an American novelist in Mexico and his young lover, who take a trip with a killer.",Puerto Vallarta Squeeze,1
81,1988,"The beloved American classic about a young girl's coming-of-age at the turn of the century, Betty Smith's A Tree Grows in Brooklyn is a poignant and moving tale filled with compassion and cruelty, laughter and heartache, crowded with life and people and incident. The story of young, sensitive, and idealistic Francie Nolan and her bittersweet formative years in the slums of Williamsburg has enchanted and inspired millions of readers for more than sixty years. By turns overwhelming, sublime, heartbreaking, and uplifting, the daily experiences of the unforgettable Nolans are raw with honesty and tenderly threaded with family connectedness -- in a work of literary art that brilliantly captures a unique time and place as well as incredibly rich moments of universal experience.",Tree Grows In Brooklyn,1
82,2000,"Following a family tragedy, siblings Lou and Oz must leave New York and adjust to life in the Virginia mountains--but just as the farm begins to feel like home, they'll have to defend it from a dark threat in this New York Times bestselling coming-of-age story. Precocious twelve-year-old Louisa Mae Cardinal lives in the hectic New York City of 1940 with her family. Then tragedy strikes--and Lou and her younger brother, Oz, must go with their invalid mother to live on their great-grandmother's farm in the Virginia mountains. Suddenly Lou finds herself growing up in a new landscape, making her first true friend, and experiencing adventures tragic, comic, and audacious. When a dark, destructive force encroaches on her new home, her struggle will play out in a crowded Virginia courtroom...and determine the future of two children, an entire town, and the mountains they love.",Wish You Well,1
83,1982,"After Earth is demolished to make way for a new hyperspatial expressway, Arthur Dent begins to hitch-hike through space.",The Hitchhiker's Guide to the Galaxy,1
84,2003,"Kate Morrison, orphaned at the age of seven, grows up seeing her brilliant older brother Matt's failure to further his education as a tragedy, and feeling somewhat guilty about her own accomplishments, and it is not until years later that she finally sees the damage her faulty thinking has caused.",Crow Lake (Today Show Book Club #7),1
85,1995,"The reminiscences of a New York lawyer, Jim Burden, about his boyhood in Nebraska, particularly a young Bohemian girl named Antonia Shimerda, are set against the backdrop of the American assimilation of immigrants. Reader's Guide available. Reissue.",My Antonia,1
86,2002,"When Jennifer agrees to take the rap for her boss, who has been wreaking havoc on the SEC, she finds herself in Jennings Correctional Facility for Women where she encounters a fiesty group of smart, tough women who change her life.",Pen Pals,1
87,1997,"Bridget Jones's Diary was first published in 1996 and applauded by critics from Salman Rushdie to Jilly Cooper. A number one best-seller, Helen Fielding's book has sold over fifteen million copies worldwide and has been turned into an Academy Award-nominated film starring Renee Zellweger, Colin Firth and Hugh Grant. Bridget Jones's Diary is followed by Bridget Jones: The Edge of Reason and Bridget Jones: Mad About the Boy. Bridget Jones is everyone's favourite spinster. In Bridget Jones's Diary she documents her struggles through the social minefield of her 30s and tries to weigh up the eternal question: Daniel Cleaver of Mark Darcy? She is supported through the whole process by four indispensable friends, Shazzer, Jude, Tom and a bottle of chardonnay. A dazzling urban satire of modern relationships? An ironic, tragic insight into the demise of the nuclear family? Or the confused ramblings of a pissed thirty-something?",Bridget Jones's Diary,1
88,1995,"In early nineteenth-century England, a spirited young woman copes with the suit of a snobbish gentleman, as well as the romantic entanglements of her four sisters.",Pride and Prejudice (Dover Thrift Editions),1
89,1994,,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),1
90,1990,"Mare Imbri, a deliverer of bad dreams, is made partially real so that she can warn King Trent of Xanth about the coming invasion",Night Mare (Xanth Novels (Paperback)),1
91,1984,,The Martian Chronicles,1
92,1994,"'Fahrenheit 451' ist die Temperatur, bei der ""BÃ¼cherpapier Feuer fÃ¤ngt und verbrennt"". In Ray Bradburys Zukunftsvision ist die Feuerwehr nicht mehr mit Wasserspritzen ausgerÃ¼stet, sondern mit Flammenwerfern, die genau diesen Hitzegrad erzeugen, um die letzten Zeugnisse individualistischen Denkens - die BÃ¼cher - zu vernichten. Da -beginnt der Feuerwehrmann Guy Montag, sich Fragen zu stellen... Die beÃ¤ngstigende Geschichte von einer Welt, in der das BÃ¼cherlesen mit GefÃ¤ngnis und Tod bestraft wird, ist ein zeitloses PlÃ¤doyer fÃ¼r das freie Denken.",Fahrenheit 451,1
93,2002,"Die Geschichte einer unglÃ¼cklichen jungen Frau, die sterben will und erst angesichts des Todes entdeckt, wie schÃ¶n das Leben sein kann, wenn man darum kÃ¤mpft und etwas riskiert. Ein wunderbares Buch Ã¼ber die Prise 'VerrÃ¼cktheit', die es braucht, um den eigenen Lebenstraum Wirklichkeit werden zu lassen, und eine groÃŸe LiebeserklÃ¤rung an das GlÃ¼ck in jedem von uns.",Veronika Deschliesst Zu Sterben / Vernika Decides to Die,1
94,2003,,QuerschÃƒ?Ã‚Â¼sse - Downsize This!,1
95,2002,"Im Mittelpunkt steht die Familie Lambert. Enid Lambert sehnt sich nach einem letzten Weihnachtsfest mit ihren erwachsenen Kindern und ihrem an Parkinson erkrankten Mann bei sich in St. Jude. Doch die Kinder tun sich schwer, ihr diesen Wunsch zu gewÃ¤hren.",Die Korrekturen.,1
96,1998,"The story of the tragic decline of an Indian family whose members suffer the terrible consequences of forbidden love, The God of Small Things is set in the state of Kerala, on the southernmost tip of India. Armed only with the invincible innocence of children, the twins Rahel and Esthappen fashion a childhood for themselves in the shade of the wreck that is their family -- their lonely, lovely mother, Ammu (who loves by night the man her children love by day), their blind grandmother, Mammachi (who plays Handel on her violin), their beloved uncle Chacko (Rhodes scholar, pickle baron, radical Marxist, bottom-pincher), their enemy, Baby Kochamma (ex-nun and incumbent grandaunt), and the ghost of an imperial entomologist's moth (with unusually dense dorsal tufts). When their English cousin and her mother arrive on a Christmas visit, the twins learn that Things Can Change in a Day. That lives can twist into new, ugly shapes, even cease forever. The brilliantly plotted story uncoils with an agonizing sense of foreboding and inevitability. Yet nothing prepares you for what lies at the heart of it.",The God of Small Things,1
97,2003,"At the outset of his career with the FBI, Alex Cross is instructed to track down a band of kidnappers who are snatching people and possibly selling them into slavery, a case that is complicated by a terrible threat to Cross's own family.",The Big Bad Wolf: A Novel,1
98,2002,"With his resignation from the Washington Police interrupted by a case involving a friend who has been framed for murder, Alex Cross and partner John Sampson journey deep across military lines to confront the most brutal killer of their careers. 1,500,000 first printing.",Four Blind Mice,1
99,1994,"In a sensational trial that is taken over by a mysterious terrorist, attorney Tony Lord defends a man accuses of assassinating presidential hopeful James Kilcannon. By the author of Degree of Guilt. Reissue.",Private Screening,1
100,1995,"Armed with the latest gifts of advanced technology, a California scientist, a ruthless corporation agent, and a mercenary hunter face the dangers of the Congo jungle in search of the diamonds of the lost city of Zinj",Congo,1
101,2001,"When the Chief Justice of the Supreme Court drops dead following the inauguration, President Kerry Kilcannon selects as a replacement Judge Caroline Masters, a woman who hides a secret that could affect her ruling on a controversial case.",Protect and Defend,1
102,1999,,The Tall Pine Polka,1
103,1997,,Memoirs of a Geisha,1
104,2000,"From the unsettled lives of a small-town teacher struggling to raise two boys alone in the face of their mother's retreat from life, a pregnant teenage girl with nowhere to go, and two elderly bachelor farmers emerges a new vision of life and family as their diverse destinies intertwine. 200,000 first printing.",Plainsong (Vintage Contemporaries),1
105,1992,Chief Medical Examiner Kay Scarpetta investigates the murder of a reclusive author and discovers that being a coroner is much more than laboratory work as she becomes involved in a dangerous criminal investigation,Body of Evidence (Kay Scarpetta Mysteries (Paperback)),1
106,1993,"Dr. Kay Scarpetta is up against a serial killer who targets young lovers. Four couples have disappeared, only to turn up dead months afterward...Now a fifth pair is missing, and the mother of the girl is a powerhouse recently named by the president to head his war on drugs.",All That Remains (Kay Scarpetta Mysteries (Paperback)),1
107,1997,,Petals on the River,1
108,1999,"A woman in desperate straits ... A fearless man ...A marriage of convenience on turbulent waters ... Cerynise Kendall has been left destitute and in dire need following the death of her doting patron and protectress. A brilliant young artist tossed from her home with only the clothes on her back, Cerynise must now turn to a childhood companion for assistance - the dashing sea captain Beauregard Birmingham and beg him to provide her with passage to the Carolinas. She seeks a new home and a new life across the waters, but all depends upon the kindness of a charming adventurer who was once the object of her youthful infatuation. Beneath Birminghamâ€²s rugged exterior beats a heart as large and wild as the Atlantic, and Beau readily agrees to aid Cerynise - even offering her his name in marriage, albeit temporarily, to protect his long time friend from scandal. But perilous secrets, determined enemies and tempests of the sea and soul threaten their future and safe passage even as bonds of camaraderie are miraculously reforged as bonds of desire ... and affection becomes passion and love.",The Elusive Flame,1
109,1998,Two sisters separated by adoption and a romantic betrayal emigrate to America from Berlin after their parents fall victim to the Nazis,Legacy of Silence,1
110,2000,"In a maximum security federal prison, three former judges who call themselves ""the brethren"" meet daily in the law library to run a rougher form of justice inside their new community, and make a little money, but when one of their scams derails, they are forced to confront the world of their own creation.",The Brethren,1
111,2003,"The author of such best-selling legal thrillers as The Summons and The Brethren presents his latest novel of courtroom and legal suspense. 2,500,000 first printing. $2,500,000 ad/promo.",The King of Torts,1
